strategy,episode,final_biomass_g,total_reward,total_waste_g,mortality_pct
Do-Nothing,1,9.06,-103.15,31.49,46.04
Do-Nothing,2,11.19,-75.03,29.14,40.27
Do-Nothing,3,15.73,-16.76,22.65,31.34
Do-Nothing,4,17.63,-5.16,23.5,30.6
Do-Nothing,5,11.02,-82.93,29.73,41.81
Do-Nothing,6,29.27,114.75,15.69,21.13
Do-Nothing,7,12.81,-56.23,26.92,37.73
Do-Nothing,8,43.41,210.84,14.84,18.47
Do-Nothing,9,11.63,-63.96,28.29,39.82
Do-Nothing,10,18.47,-8.23,25.47,32.81
Do-Nothing,11,16.07,-14.8,23.05,32.0
Do-Nothing,12,14.71,-41.84,26.64,36.65
Do-Nothing,13,20.16,12.79,23.76,31.65
Do-Nothing,14,14.9,-36.9,27.14,36.77
Do-Nothing,15,19.3,17.72,20.13,26.92
Do-Nothing,16,13.35,-54.66,28.29,39.06
Do-Nothing,17,15.38,-34.2,26.69,36.05
Do-Nothing,18,8.89,-102.61,31.27,47.92
Do-Nothing,19,12.36,-22.16,21.65,31.78
Do-Nothing,20,14.63,-41.32,26.7,35.51
Random,1,17.3,-2.28,23.4,32.57
Random,2,21.96,35.25,23.66,30.66
Random,3,28.35,89.73,18.95,22.99
Random,4,18.79,1.55,21.69,28.88
Random,5,13.08,-11.73,20.19,29.08
Random,6,12.55,-64.04,28.12,38.35
Random,7,7.25,-116.19,32.15,52.35
Random,8,22.0,41.27,21.19,28.42
Random,9,14.64,-36.77,26.67,35.29
Random,10,7.6,-127.4,33.2,45.81
Random,11,13.98,-51.93,26.86,34.78
Random,12,8.37,-107.25,31.98,42.7
Random,13,7.82,-114.06,32.31,48.25
Random,14,25.41,58.64,19.07,22.84
Random,15,58.73,320.18,14.53,16.58
Random,16,21.47,18.96,23.55,27.22
Random,17,31.06,110.68,17.41,23.83
Random,18,8.13,-105.48,31.06,41.61
Random,19,44.39,223.96,16.68,17.33
Random,20,38.09,166.61,17.78,21.43
Rule-Based,1,48.24,252.63,12.0,16.13
Rule-Based,2,32.85,146.23,11.92,17.23
Rule-Based,3,45.27,236.68,10.11,14.95
Rule-Based,4,37.72,164.08,15.64,19.36
Rule-Based,5,48.12,235.13,15.62,18.17
Rule-Based,6,61.75,351.03,10.83,14.38
Rule-Based,7,16.88,4.48,18.57,24.77
Rule-Based,8,71.69,416.79,11.18,14.47
Rule-Based,9,36.9,167.12,11.97,17.3
Rule-Based,10,69.05,407.09,9.68,13.38
Rule-Based,11,31.35,145.32,9.86,16.05
Rule-Based,12,65.48,376.71,11.45,14.02
Rule-Based,13,33.55,136.13,14.94,19.16
Rule-Based,14,26.76,78.43,16.77,21.66
Rule-Based,15,45.58,219.96,15.33,18.05
Rule-Based,16,26.18,58.95,22.8,24.82
Rule-Based,17,54.31,306.15,9.57,13.76
Rule-Based,18,32.45,115.49,19.55,22.19
Rule-Based,19,57.78,324.08,10.78,14.09
Rule-Based,20,50.27,264.07,14.17,17.14
PPO Agent,1,76.47,465.82,10.52,13.21
PPO Agent,2,90.46,570.4,8.43,11.72
PPO Agent,3,40.22,193.8,14.67,20.06
PPO Agent,4,30.62,144.0,10.61,18.09
PPO Agent,5,49.93,266.68,11.89,15.84
PPO Agent,6,36.73,156.62,14.87,19.06
PPO Agent,7,62.81,368.15,11.71,14.83
PPO Agent,8,26.4,112.34,12.2,18.95
PPO Agent,9,57.67,342.79,7.91,13.01
PPO Agent,10,54.93,304.93,11.74,14.8
PPO Agent,11,41.12,198.02,16.18,18.82
PPO Agent,12,59.85,347.31,10.47,13.9
PPO Agent,13,48.02,266.32,8.83,14.28
PPO Agent,14,79.98,497.05,9.41,12.53
PPO Agent,15,52.21,296.21,10.19,14.93
PPO Agent,16,33.0,123.51,16.39,21.42
PPO Agent,17,71.63,430.03,11.27,14.2
PPO Agent,18,52.82,273.0,13.56,16.44
PPO Agent,19,32.45,151.22,11.89,18.34
PPO Agent,20,36.39,155.1,16.91,20.59
